数据库：分省年度数据
指标：商品房平均销售价格(元/平方米)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年
北京市,40526.00,37665.00,35905.00,34142.89,32140.00,27497.00,22633.00,18833.00,18553.00,17021.63,16851.95,17782.00,13799.00,12418.00,11553.26,8279.51,6788.09,5052.93,4737.00
天津市,16182.00,16172.00,15380.00,16054.64,15331.00,12830.00,10107.00,9219.00,8746.00,8217.67,8744.77,8230.00,6886.00,6015.00,5811.11,4773.54,4054.73,3114.61,2518.00
河北省,8239.00,8212.00,7834.00,7682.82,7203.00,6438.00,5759.00,5131.00,4897.00,4478.02,3982.85,3539.00,3263.00,2779.00,2585.77,2111.42,1862.03,1605.42,1463.00
山西省,6775.00,7023.00,6896.00,6822.03,5619.00,4984.00,4870.00,4734.00,4433.00,3871.38,3432.71,3487.00,2707.00,2355.00,2249.61,1988.18,2209.91,1803.23,1611.00
内蒙古自治区,6535.00,6674.00,6194.00,5548.42,4628.00,4546.00,4441.00,4333.00,4301.00,4053.05,3782.93,3521.00,2972.00,2483.00,2246.53,1811.37,1653.22,1400.63,1270.00
辽宁省,8930.00,8993.00,8249.00,7541.64,6681.00,6080.00,5758.00,5373.00,5122.00,4942.01,4732.65,4505.00,4034.00,3758.00,3490.15,3073.44,2797.58,2412.03,2291.00
吉林省,7030.00,7544.00,7452.00,7001.49,6021.00,5364.00,5476.00,5112.00,4483.00,4146.70,4363.89,3647.00,2917.00,2507.00,2302.47,2009.59,1888.19,1880.01,1574.00
黑龙江省,6365.00,7121.00,7529.00,6900.88,6471.00,5295.00,5144.00,4882.00,4738.00,4067.17,3966.40,3719.00,3241.00,2832.00,2471.32,2195.55,2099.12,1938.99,1799.00
上海市,36102.00,33798.00,30677.00,26890.08,23804.00,24747.00,20949.00,16787.00,16420.00,14061.37,14603.24,14464.00,12840.00,8195.00,8361.00,7196.00,6842.00,5855.00,5118.00
江苏省,12906.00,12581.00,11637.00,10773.54,9195.00,8805.00,7356.00,7006.00,6909.00,6726.78,6554.41,5841.00,4983.00,4049.00,4024.36,3592.19,3358.76,2651.41,2197.00
浙江省,19070.00,16726.00,15304.00,14443.00,12855.00,11121.00,10525.00,10526.00,11042.00,10642.58,9838.06,9258.00,7826.00,6262.00,5786.03,4774.44,4279.97,3108.19,2737.00
安徽省,7784.00,7705.00,7393.00,7049.86,6375.00,5924.00,5457.00,5394.00,5080.00,4824.95,4776.10,4205.00,3420.00,2949.00,2664.37,2321.89,2220.20,1782.14,1513.00
福建省,11779.00,11348.00,10748.00,10589.18,9746.00,9218.00,8881.00,9136.00,9050.00,8646.05,7764.29,6256.00,5427.00,4384.00,4684.34,3993.96,3161.67,2559.68,2297.00
江西省,7678.00,7757.00,7293.00,6805.49,6150.00,5709.00,5358.00,5288.00,5203.00,4744.66,4147.70,3144.00,2643.00,2136.00,2071.89,1707.99,1528.68,1325.00,1210.00
山东省,8517.00,8338.00,8070.00,7481.16,6319.00,5855.00,5560.00,5315.00,5049.00,4763.01,4447.73,3944.00,3505.00,2970.00,2904.14,2540.50,2425.22,2045.29,1698.00
河南省,6521.00,6641.00,6311.00,5757.69,5355.00,4964.00,4611.00,4366.00,4205.00,3831.23,3500.80,3042.00,2666.00,2339.00,2253.43,2011.84,1866.95,1572.90,1388.00
湖北省,9130.00,9241.00,9012.00,8495.27,7675.00,6724.00,5863.00,5513.00,5266.00,5042.79,4486.39,3743.00,3532.00,3001.00,3053.12,2555.66,2263.26,1671.67,1506.00
湖南省,6574.00,6302.00,6127.00,5794.89,5228.00,4640.00,4304.00,4227.00,4243.00,4048.62,3790.26,3146.00,2680.00,2302.00,2233.15,1928.44,1624.81,1510.54,1413.00
广东省,15930.00,15141.00,14262.00,13073.18,11776.00,11097.00,9796.00,9083.00,9090.00,8112.19,7879.17,7486.00,6513.00,5953.00,5914.30,4852.74,4442.76,3482.00,3195.00
广西壮族自治区,5944.00,6318.00,6505.00,6158.97,5834.00,5237.00,4960.00,4854.00,4593.00,4203.42,3772.47,3562.00,3260.00,2826.00,2538.64,2195.41,2013.64,2082.58,1883.00
海南省,17541.00,16394.00,15383.00,14545.63,11837.00,9878.00,9339.00,9315.00,8669.00,7893.80,8943.45,8735.00,6261.00,5443.00,4161.60,3787.46,2924.47,2404.89,2105.00
重庆市,8699.00,8255.00,8402.00,8066.86,6792.00,5485.00,5486.00,5519.00,5569.00,5079.93,4733.84,4281.00,3442.00,2785.00,2722.58,2269.21,2134.99,1766.24,1596.00
四川省,7885.00,7840.00,7448.00,6987.58,6217.00,5762.00,5475.00,5597.00,5498.00,5448.82,4917.88,4138.00,3509.00,3157.00,2840.45,2270.94,1945.48,1572.22,1421.00
贵州省,5807.00,5807.00,5980.00,5636.77,4771.00,4307.00,4415.00,4312.00,4295.00,4115.67,3888.78,3357.00,2874.00,2339.00,2136.74,1779.82,1606.59,1385.02,1313.00
云南省,7634.00,8173.00,7954.00,7517.49,5919.00,5269.00,5300.00,4998.00,4494.00,4209.19,3635.38,3158.00,2931.00,2680.00,2454.98,2380.17,2165.02,1977.51,1882.00
西藏自治区,8645.00,9000.00,7578.00,7201.55,6626.00,5112.00,4111.00,5774.00,4174.00,3268.62,3474.51,2896.00,2452.00,3202.00,2704.12,1976.46,1700.11,2747.58,1753.00
陕西省,9733.00,9828.00,8998.00,8273.40,6840.00,5471.00,5362.00,5166.00,5280.00,5155.88,4949.20,3759.00,3223.00,2952.00,2622.00,2461.32,2059.61,1731.03,1534.00
甘肃省,6047.00,6572.00,5977.00,5780.33,5709.00,5201.00,4913.00,4544.00,3886.00,3570.15,3318.24,3042.00,2483.00,1958.00,2190.54,1779.76,1936.22,1753.70,1275.00
青海省,7623.00,8160.00,7643.00,6471.72,6001.00,5400.00,5242.00,5081.00,4163.00,4048.54,3248.08,3005.00,2517.00,2460.00,2311.00,1920.56,1832.20,1582.88,1465.00
宁夏回族自治区,6655.00,6375.00,5685.00,5043.61,4544.00,4241.00,4413.00,4117.00,4232.00,3947.88,3732.19,3304.00,3090.00,2435.00,2136.20,2063.07,2235.38,1880.40,1868.00
新疆维吾尔自治区,5740.00,5835.00,5999.00,5944.38,4965.00,4632.00,4653.00,4628.00,4268.00,3918.40,3548.79,3087.00,2604.00,2240.00,2081.13,1858.09,1797.74,1585.19,1817.00
数据来源：国家统计局
